"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FC","2017-08-25","85.5","1.6036","6.4639","Giancarlo Stanton",519317,475243,"home_run","hit_into_play_score",,,,,"7","Giancarlo Stanton homers (49) on a fly ball to right center field.  ","R","R","L","MIA","SD","X","null","fly_ball",2,2,2017,"-0.4674","1.1783","-0.3877","2.2294","null","null","null",0,3,"Bot","177.78","39.52",,,595978,,"170825_235728","-3.7283","-124.1548","-5.9503","-4.0600","22.8294","-19.3463","3.7856","1.6831","395","104.8","30.6810","84.6230","2143","5.6420",492018,475243,595978,571976,641319,605486,543038,517369,622534,518466,"54.8558","0.860","1.689","2.00",1,0,3,6,20,"5"
"FT","2017-08-25","87.5","1.7573","6.4493","Giancarlo Stanton",519317,475243,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (48) on a fly ball to left field.   Dee Gordon scores.  ","R","R","L","MIA","SD","X","null","fly_ball",0,1,2017,"0.7130","1.6412","-0.5442","2.6190","null","null","543829.00",0,1,"Bot","1.00","53.35",,,595978,,"170825_232143","-6.8273","-126.7173","-6.1667","8.8874","27.0861","-14.0280","3.7856","1.6831","462","118.2","26.5360","85.6670","1887","5.4710",492018,475243,595978,571976,641319,605486,543038,517369,622534,518466,"55.0268","0.983","1.950","2.00",1,0,3,6,5,"2"
"FF","2017-08-24","93.0","-1.1505","6.1360","Giancarlo Stanton",519317,622097,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (47) on a fly ball to center field.  ","R","R","R","PHI","MIA","X","null","fly_ball",2,1,2017,"-0.1036","1.3279","-0.5642","2.5245","null","null","null",0,3,"Top","143.32","19.82",,,519237,,"170824_174617","1.7329","-135.1571","-6.3803","-1.6599","30.2892","-14.6574","3.6376","1.6069","424","115.7","23.1160","93.0710","2078","6.4560",492001,622097,519237,571830,514917,596748,520471,656555,608384,547957,"54.0423","0.993","1.975","2.00",1,0,3,6,19,"4"
"FT","2017-08-22","94.6","-1.9118","4.8540","Giancarlo Stanton",519317,605400,"home_run","hit_into_play_score",,,,,"5","Giancarlo Stanton homers (46) on a fly ball to right field.  ","R","R","R","PHI","MIA","X","null","fly_ball",1,1,2017,"-0.7129","0.8168","0.0886","2.5350","null","null","null",1,7,"Top","227.70","92.32",,,519237,,"170822_220719","6.9165","-137.6168","-2.2923","-10.7172","28.0618","-21.2125","3.6378","1.6071","346","97.3","29.5450","96.0480","2128","6.9490",491971,605400,519237,571830,514917,596748,520471,656555,608384,547957,"53.5502","0.383","0.671","2.00",1,0,3,5,51,"3"
"FT","2017-08-20","92.8","-1.4413","5.2372","Giancarlo Stanton",519317,594798,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (45) on a fly ball to left center field.   Miguel Rojas scores.    Dee Gordon scores.  ","R","R","R","NYM","MIA","X","null","fly_ball",0,0,2017,"-0.9473","0.4264","-0.8045","2.7051","500743.00","null","543829.00",1,7,"Top","66.40","39.58",,,518595,,"170820_190030","3.8317","-135.3008","-1.8116","-12.8492","23.6073","-26.5114","3.5317","1.5022","378","96.3","25.3880","95.3700","2129","7.2240",491949,594798,518595,642086,608325,527038,642708,493316,501571,624424,"53.2758","0.346","0.515","2.00",1,0,3,5,51,"1"
"FC","2017-08-15","87.7","3.0873","5.7835","Giancarlo Stanton",519317,518516,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (44) on a fly ball to left center field.  ","R","R","L","MIA","SF","X","null","fly_ball",0,1,2017,"0.1862","0.8676","-0.3202","2.3924","null","null","null",1,3,"Bot","71.54","23.68",,,457763,,"170815_235534","-8.5885","-127.2802","-3.8241","3.7539","25.7097","-22.2099","3.6316","1.6020","432","107.1","29.4810","87.4710","2125","6.2460",491885,518516,457763,624507,605509,467055,543063,592620,452655,452254,"54.2519","0.950","1.881","2.00",1,0,3,6,23,"2"
"FT","2017-08-14","91.2","2.5720","6.3446","Giancarlo Stanton",519317,621389,"home_run","hit_into_play_score",,,,,"13","Giancarlo Stanton homers (43) on a fly ball to left field.   Dee Gordon scores.  ","R","R","L","MIA","SF","X","null","fly_ball",2,0,2017,"1.4708","1.2503","-0.9921","2.3495","null","null","543829.00",0,1,"Bot","25.57","71.03",,,460026,,"170814_232035","-11.6799","-131.6621","-6.4867","18.9969","27.8314","-17.0180","3.7109","1.8201","382","95.1","28.7180","88.9790","2267","5.3390",491871,621389,460026,457763,605509,467055,543063,491676,452655,452254,"55.1588","0.271","0.443","2.00",1,0,3,5,5,"3"
"FF","2017-08-13","98.0","-2.6674","6.2027","Giancarlo Stanton",519317,608566,"home_run","hit_into_play_score",,,,,"6","Giancarlo Stanton homers (42) on a fly ball to right center field.  ","R","R","R","MIA","COL","X","null","fly_ball",3,2,2017,"-0.3873","1.6911","0.5828","2.5561","null","null","null",0,3,"Bot","231.25","88.18",,,452672,,"170813_180815","9.3517","-141.6202","-7.7849","-7.1558","32.8096","-8.8677","3.7308","1.8202","359","99.6","29.7430","95.2440","2176","5.1050",491854,608566,452672,641857,518934,571448,642162,467827,453568,471865,"55.3929","0.589","1.092","2.00",1,0,3,6,27,"6"
"CH","2017-08-12","86.4","-2.2064","6.0166","Giancarlo Stanton",519317,656546,"home_run","hit_into_play_score",,,,,"5","Giancarlo Stanton homers (41) on a fly ball to left center field.   Miguel Rojas scores.    Dee Gordon scores.  ","R","R","R","MIA","COL","X","null","fly_ball",1,1,2017,"-1.0439","1.1544","-0.1414","2.8347","500743.00","null","543829.00",2,4,"Bot","50.41","22.21",,,"null",,"170813_003747","7.1312","-125.5383","-3.7702","-12.6553","25.0147","-19.1861","3.7504","1.8403","null","103.0","30.0000","null","2026","6.8215",491839,"null","null","null","null","null","null","null","null","null","53.6769","0.783","1.508","2.00",1,0,3,6,38,"3"
"SL","2017-08-11","90.0","-1.9232","5.8781","Giancarlo Stanton",519317,592351,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (40) on a fly ball to left center field.  ","R","R","R","MIA","COL","X","null","fly_ball",1,1,2017,"0.3357","0.7672","-0.3555","2.3438","null","null","null",1,6,"Bot","31.96","40.26",,,518960,,"170812_010559","3.1811","-130.8013","-4.4154","3.1849","27.6446","-22.6393","3.6315","1.6019","433","111.2","20.6890","90.0420","2247","6.3800",491824,592351,518960,448602,518934,571448,596115,467827,453568,471865,"54.1183","0.961","1.750","2.00",1,0,3,6,47,"3"
