last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Kinsler, Ian,435079,51,16.2,29.4,103.5,84.5,88.0,82.8,363,164,354,14,27.5,0,0.0,0.0
Urias, Luis,649966,13,6.6,23.1,103.5,87.8,94.6,85.7,389,146,,5,38.5,1,7.7,3.4
Kipnis, Jason,543401,18,11.3,27.8,103.4,89.4,87.7,91.5,346,174,,8,44.4,0,0.0,0.0
Iglesias, Jose,578428,42,8.8,38.1,103.4,84.2,87.7,81.1,391,166,391,8,19.0,1,2.4,1.8
Wolters, Tony,547172,38,8.0,36.8,103.4,85.2,91.5,80.5,390,163,,9,23.7,0,0.0,0.0
Inciarte, Ender,542255,54,1.1,25.9,103.3,79.1,87.4,75.7,414,107,414,11,20.4,1,1.9,1.3
Schwindel, Frank,643524,13,20.5,15.4,103.3,85.8,89.9,87.9,326,167,,3,23.1,0,0.0,0.0
Perez, Michael,605421,15,6.3,40.0,103.2,91.7,96.3,87.6,368,169,,6,40.0,0,0.0,0.0
Plawecki, Kevin,608700,17,24.6,17.6,103.2,87.7,91.0,87.0,406,190,406,4,23.5,1,5.9,3.8
Zagunis, Mark,657145,15,2.0,40.0,103.1,87.1,91.1,82.5,362,168,,7,46.7,0,0.0,0.0
Riddle, JT,595375,21,14.8,42.9,103.0,89.5,89.9,88.5,399,221,388,6,28.6,2,9.5,6.3
White, Tyler,643603,20,0.9,25.0,103.0,86.3,92.0,82.4,362,148,,6,30.0,0,0.0,0.0
Stassi, Max,545358,14,17.8,21.4,102.9,90.1,92.5,87.4,378,194,366,6,42.9,1,7.1,4.3
Murphy, Tom,608596,14,27.2,35.7,102.9,91.5,91.8,90.7,360,213,360,4,28.6,1,7.1,4.2
Greinke, Zack,425844,12,-2.6,41.7,102.9,74.4,92.5,61.6,413,192,399,3,25.0,3,25.0,23.1
Panik, Joe,605412,56,12.4,32.1,102.9,86.5,91.3,83.4,380,160,,14,25.0,2,3.6,2.8
Smith, Kevan,607345,21,2.1,38.1,102.8,89.7,92.7,86.9,405,131,405,6,28.6,3,14.3,10.0
Smith, Mallex,605480,55,6.4,30.9,102.8,86.6,90.9,85.3,381,137,339,10,18.2,1,1.8,1.1
Farmer, Kyle,571657,18,11.3,22.2,102.8,88.9,99.1,82.5,414,144,391,7,38.9,2,11.1,7.7
Allen, Greg,656185,24,10.8,25.0,102.7,85.7,88.1,85.6,360,136,,6,25.0,0,0.0,0.0
Ahmed, Nick,605113,61,8.3,39.3,102.7,87.7,91.5,83.4,423,180,423,17,27.9,1,1.6,1.1
Murphy, Daniel,502517,10,16.7,30.0,102.6,88.4,87.4,89.8,384,180,,3,30.0,0,0.0,0.0
Rickard, Joey,572073,43,13.1,32.6,102.6,83.8,88.3,78.8,389,159,344,11,25.6,2,4.7,2.9
Sucre, Jesus,491696,46,8.3,34.8,102.5,88.3,87.3,90.3,361,141,,12,26.1,0,0.0,0.0
Knapp, Andrew,595284,10,14.3,40.0,102.4,90.4,95.5,82.7,367,178,,3,30.0,1,10.0,4.5
Gallagher, Cam,595956,16,15.3,18.8,102.4,77.5,86.4,72.6,309,146,,3,18.8,0,0.0,0.0
Galloway, Isaac,543194,14,11.6,42.9,102.4,86.0,92.3,82.6,400,157,,4,28.6,1,7.1,6.3
Dyson, Jarrod,502481,35,5.6,37.1,102.3,77.6,89.0,70.6,395,140,390,7,20.0,1,2.9,1.9
McNeil, Jeff,643446,62,10.1,29.0,102.3,90.7,91.0,91.6,387,141,,22,35.5,0,0.0,0.0
Fletcher, David,664058,63,10.4,36.5,102.3,84.3,89.2,80.4,373,164,,17,27.0,0,0.0,0.0
Phegley, Josh,572033,37,25.7,35.1,102.1,85.6,89.9,91.5,398,223,386,12,32.4,2,5.4,3.9
