x,y
0.0,0.0
0.0,330.0
38.0,347.0
244.0,310.0
249.0,309.0
253.0,307.0
258.0,305.0
262.0,302.0
266.0,300.0
270.0,297.0
275.0,294.0
278.0,291.0
300.0,267.0
304.0,261.0
307.0,255.0
309.0,249.0
311.0,244.0
349.0,39.0
330.0,0.0
0.0,0.0
